
These predictions were generated by HydroDyn on 11-Aug-2020 at 18:02:35.

    Time            Wave1Elev            Wave2Elev            Wave3Elev            Wave4Elev            Wave5Elev            Wave6Elev            Wave7Elev            Wave8Elev            Wave9Elev
   (sec)                  (m)                  (m)                  (m)                  (m)                  (m)                  (m)                  (m)                  (m)                  (m)
    0.3875           2.9461E+00           2.5312E+00           1.7385E+00           6.8656E-01          -4.6785E-01          -1.5525E+00          -2.4055E+00          -2.8996E+00          -2.9611E+00
    0.4000           2.9504E+00           2.5439E+00           1.7578E+00           7.0951E-01          -4.4463E-01          -1.5324E+00          -2.3916E+00          -2.8940E+00          -2.9646E+00
    0.4125           2.9546E+00           2.5565E+00           1.7771E+00           7.3246E-01          -4.2141E-01          -1.5124E+00          -2.3778E+00          -2.8884E+00          -2.9681E+00
    0.4250           2.9589E+00           2.5692E+00           1.7963E+00           7.5541E-01          -3.9820E-01          -1.4924E+00          -2.3640E+00          -2.8828E+00          -2.9716E+00
    0.4253           2.9590E+00           2.5695E+00           1.7968E+00           7.5594E-01          -3.9766E-01          -1.4919E+00          -2.3636E+00          -2.8827E+00          -2.9717E+00
    0.4375           2.9631E+00           2.5819E+00           1.8156E+00           7.7837E-01          -3.7498E-01          -1.4724E+00          -2.3501E+00          -2.8772E+00          -2.9751E+00
    0.4500           2.9673E+00           2.5946E+00           1.8348E+00           8.0132E-01          -3.5176E-01          -1.4524E+00          -2.3363E+00          -2.8717E+00          -2.9786E+00
    0.4625           2.9716E+00           2.6073E+00           1.8541E+00           8.2427E-01          -3.2854E-01          -1.4323E+00          -2.3224E+00          -2.8661E+00          -2.9821E+00
    0.4750           2.9758E+00           2.6200E+00           1.8734E+00           8.4722E-01          -3.0532E-01          -1.4123E+00          -2.3086E+00          -2.8605E+00          -2.9856E+00
    0.4875           2.9800E+00           2.6327E+00           1.8926E+00           8.7017E-01          -2.8210E-01          -1.3923E+00          -2.2948E+00          -2.8549E+00          -2.9891E+00
    0.4880           2.9802E+00           2.6332E+00           1.8934E+00           8.7109E-01          -2.8118E-01          -1.3915E+00          -2.2942E+00          -2.8547E+00          -2.9892E+00
    0.5000           2.9843E+00           2.6454E+00           1.9119E+00           8.9312E-01          -2.5889E-01          -1.3723E+00          -2.2809E+00          -2.8493E+00          -2.9926E+00
    0.5125           2.9848E+00           2.6549E+00           1.9288E+00           9.1497E-01          -2.3535E-01          -1.3506E+00          -2.2643E+00          -2.8402E+00          -2.9924E+00
    0.5130           2.9849E+00           2.6552E+00           1.9295E+00           9.1585E-01          -2.3441E-01          -1.3497E+00          -2.2636E+00          -2.8398E+00          -2.9924E+00
    0.5250           2.9854E+00           2.6643E+00           1.9457E+00           9.3682E-01          -2.1181E-01          -1.3288E+00          -2.2476E+00          -2.8311E+00          -2.9922E+00
    0.5250           2.9854E+00           2.6643E+00           1.9457E+00           9.3682E-01          -2.1181E-01          -1.3288E+00          -2.2476E+00          -2.8311E+00          -2.9922E+00
    0.5375           2.9860E+00           2.6737E+00           1.9626E+00           9.5868E-01          -1.8828E-01          -1.3071E+00          -2.2310E+00          -2.8220E+00          -2.9920E+00
    0.5375           2.9860E+00           2.6737E+00           1.9626E+00           9.5868E-01          -1.8828E-01          -1.3071E+00          -2.2310E+00          -2.8220E+00          -2.9920E+00
    0.5500           2.9865E+00           2.6832E+00           1.9795E+00           9.8053E-01          -1.6474E-01          -1.2854E+00          -2.2143E+00          -2.8129E+00          -2.9918E+00
    0.5500           2.9865E+00           2.6832E+00           1.9795E+00           9.8053E-01          -1.6474E-01          -1.2854E+00          -2.2143E+00          -2.8129E+00          -2.9918E+00
    0.5625           2.9871E+00           2.6926E+00           1.9964E+00           1.0024E+00          -1.4120E-01          -1.2637E+00          -2.1977E+00          -2.8038E+00          -2.9916E+00
    0.5625           2.9871E+00           2.6926E+00           1.9964E+00           1.0024E+00          -1.4120E-01          -1.2637E+00          -2.1977E+00          -2.8038E+00          -2.9916E+00
    0.5750           2.9876E+00           2.7020E+00           2.0133E+00           1.0242E+00          -1.1766E-01          -1.2420E+00          -2.1810E+00          -2.7947E+00          -2.9914E+00
    0.5750           2.9876E+00           2.7020E+00           2.0133E+00           1.0242E+00          -1.1766E-01          -1.2420E+00          -2.1810E+00          -2.7947E+00          -2.9914E+00
    0.5875           2.9882E+00           2.7115E+00           2.0302E+00           1.0461E+00          -9.4127E-02          -1.2203E+00          -2.1644E+00          -2.7856E+00          -2.9912E+00
    0.5875           2.9882E+00           2.7115E+00           2.0302E+00           1.0461E+00          -9.4127E-02          -1.2203E+00          -2.1644E+00          -2.7856E+00          -2.9912E+00
    0.6000           2.9888E+00           2.7209E+00           2.0471E+00           1.0679E+00          -7.0590E-02          -1.1986E+00          -2.1478E+00          -2.7765E+00          -2.9910E+00
